timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
1/1/2000 2:17,0,0,0.002923266
1/1/2000 2:17,0,0,0.002955557
1/1/2000 2:17,0,0,0.00372458
1/1/2000 2:18,0,0,0.003013236
1/1/2000 2:18,0,0,0.002883986
1/1/2000 2:18,0,0,0.002983155
1/1/2000 2:18,0,0,0.00298252
1/1/2000 2:19,0,0,0.002926754
1/1/2000 2:19,0,0,0.002885628
1/1/2000 2:19,0,0,0.00294217
1/1/2000 2:19,0,0,0.002986477
1/1/2000 2:20,0,0,0.0030861
1/1/2000 2:20,0,0,0.003033931
1/1/2000 2:20,0,0,0.002874223
1/1/2000 2:20,0,0,0.002941633
1/1/2000 2:21,0,0,0.002881035
1/1/2000 2:21,0,0,0.002809675
1/1/2000 2:21,0,0,0.003102602
1/1/2000 2:21,0,0,0.002924182
1/1/2000 2:22,0,0,0.002996055
1/1/2000 2:22,0,0,0.002973317
1/1/2000 2:22,0,0,0.002971061
1/1/2000 2:22,0,0,0.002840326
1/1/2000 2:23,0,0,0.002994368
1/1/2000 2:23,0,0,0.002916351
1/1/2000 2:23,0,0,0.003009713
1/1/2000 2:23,0,0,0.002891517
1/1/2000 2:24,0,0,0.003000237
1/1/2000 2:24,0,0,0.003048615
1/1/2000 2:24,0,0,0.003085097
1/1/2000 2:24,0,0,0.002958752
1/1/2000 2:25,0,0,0.003104571
1/1/2000 2:25,0,0,0.003025334
1/1/2000 2:25,0,0,0.002939746
1/1/2000 2:25,0,0,0.002904371
1/1/2000 2:26,0,0,0.003118802
1/1/2000 2:26,0,0,0.002975041
1/1/2000 2:26,0,0,0.003593766
1/1/2000 2:26,0,0,0.003062447
1/1/2000 2:27,0,0,0.003952751
1/1/2000 2:27,0,0,0.002857794
1/1/2000 2:27,0,0,0.003068176
1/1/2000 2:27,0,0,0.00303443
1/1/2000 2:28,0,0,0.002955167
1/1/2000 2:28,0,0,0.003209479
1/1/2000 2:28,0,0,0.002965251
1/1/2000 2:28,0,0,0.003025402
1/1/2000 2:29,0,0,0.003466543
1/1/2000 2:29,0,0,0.003173476
1/1/2000 2:29,0,0,0.0030149
1/1/2000 2:29,0,0,0.00311812
1/1/2000 2:30,0,0,0.003167992
1/1/2000 2:30,0,0,0.003105291
1/1/2000 2:30,0,0,0.003119731
1/1/2000 2:30,0,0,0.003298917
1/1/2000 2:31,0,0,0.00322057
1/1/2000 2:31,0,0,0.00315587
1/1/2000 2:31,0,0,0.003232848
1/1/2000 2:31,0,0,0.003324881
1/1/2000 2:32,0,0,0.003072958
1/1/2000 2:32,0,0,0.003138185
1/1/2000 2:32,0,0,0.003347346
1/1/2000 2:32,0,0,0.003490713
1/1/2000 2:33,0,0,0.0031903
1/1/2000 2:33,0,0,0.003549989
1/1/2000 2:33,0,0,0.003155317
1/1/2000 2:33,0,0,0.0032944
1/1/2000 2:34,0,0,0.003252114
1/1/2000 2:34,0,0,0.003523872
1/1/2000 2:34,0,0,0.003021307
1/1/2000 2:34,0,0,0.00324701
1/1/2000 2:35,0,0,0.003356588
1/1/2000 2:35,0,0,0.005672051
1/1/2000 2:35,0,0,0.002666733
1/1/2000 2:35,0,0,0.002940808
1/1/2000 2:36,0,0,0.002874276
1/1/2000 2:36,0,0,0.00288365
1/1/2000 2:36,0,0,0.002861479
1/1/2000 2:36,0,0,0.002827247
1/1/2000 2:37,0,0,0.003138831
1/1/2000 2:37,0,0,0.002837793
1/1/2000 2:37,0,0,0.002912729
1/1/2000 2:37,0,0,0.003788398
1/1/2000 2:38,0,0,0.00323558
1/1/2000 2:38,0,0,0.002724148
1/1/2000 2:38,0,0,0.0027363
